01_ShAG19970727T2-1	omnī modol'elŋi.	omnī modo-l'el-ŋi.	people sit-INFR-PL:IND.INTR.3	Омнии модольэлӈи.	Жили люди.	People lived.	人々が暮らしていた。	1(1.1)
01_ShAG19970727T2-2	arnūjādie, arnūjādiele terikell'el.	arnūjā-die, arnūjā-die-le terike-l-l'el-0.	wolverine-DIM wolverine-DIM-INS old.woman-PROP-INFR(-IND.INTR.3SG)	Арнууйаалиэ ... арнууйаадиэлэ тэрикэлльэл.	Их дочь была замужем за росомахой.	Their daughter was married to a wolverine.	彼らの娘はクズリと結婚していた。	1(1.2)
01_ShAG19970727T2-3	tamun ködielede aŋnume pulutn'iel'el, taŋ paj.	tamun ködiel-e=de aŋnume pulut-n'ie-l'el-0, taŋ paj.	DST wolf-INS=EMPH at.first old.man-PROP-INFR(-IND.INTR.3SG) DST.ATTR woman	Тамун көдиэлэ дэ аӈнумэ пулутньиэльэл, таӈ пай.	Она была замужем сначало за волком, эта дочь.	First, she was married to a wolf, that daughter.	それは狼とはじめは結婚していた、その娘は。	1(1.3)
01_ShAG19970727T2-4	tāt peššejl'elŋā, l'e ōdōn, žadnyj ōdōn.	tāt peššej-l'el-ŋā, l'e ō-d-ōn, zhadnyj ō-d-ōn.	ANPH:ADV throw:PFV-INFR-PL:IND.TR.3 that.one COP-POSS.3-ESS greedy(Rus.) COP-POSS.3-ESS	Таат пэшшэйльэлӈаа, льэ оодоон, жадный оодоон.	Они бросили его, потому что он был жадный.	But they left him, because he was greedy.	彼らは狼を捨てた、あれだったので、いやしかったので。	1(1.4)
01_ShAG19970727T2-5	a potom arnūjādieŋin qoll'el.	a potom arnūjā-die-ŋin qol-l'el-0.	and(Rus.) then(Rus.) wolverine-DIM-DAT go-INFR(-IND.INTR.3SG)	А потом арнууйаадиэӈин холльэл.	А потом она вышла замуж за росомаху.	And, then, she married a wolverine.	それからクズリのところへ嫁に行った。	1(1.5)
01_ShAG19970727T2-6	arnūjādiegele tozhe peššejl'elŋā.	arnūjā-die-gele tozhe peššej-l'el-ŋā.	wolverine-DIM-ACC also(Rus.) throw:PFV-INFR-PL:IND.TR.3	Арнууйаадиэгэлэ тоже пэшшэйльэлӈаа.	Они росомаху тоже бросили.	Then they left the wolverine too.	彼らはクズリも捨てたそうだ。	1(1.6)
01_ShAG19970727T2-7	i_arnūjādie_zapel, “omnī metkele noŋōn erielieŋā?	i_arnūjādie_zapel, “omnī met-kele noŋōn erielie-ŋā?	and.the.wolverine.began.to.sing(Rus.) people 1SG-ACC why dislike:INCH-PL:IND.TR.3	И арнууйаадиэ запел: «Омнии мэткэлэ ноӈоон эриэлиэӈаа?	И росомаха запела: «Люди меня почему ненавидят?	And the wolverine began to sing, “Why do people hate me?	クズリは歌いだした、「人々はわたしをなぜ嫌いになったのだろう？	1(1.7)
01_ShAG19970727T2-8	met nutneje ped'en'ege omnī erienuŋā.”	met nutneje ped'e-n'e-ge omnī erie-nu-ŋā.”	1SG navel smell-PROP-LOC people dislike-IPFV-PL:IND.TR.3	Мэт нутнэйэ пэдьэньэгэ омнии эриэнуӈаа».	Мой пупок вонючий, поэтому люди ненавидят».	My navel is stinking, so people hate me.”	わたしの臍が臭いから人々はわたしを嫌うのだ」	1(1.7)
01_ShAG19970727T2-9	kebet'.	kebe-t'.	leave:PFV-IND.INTR.3SG	Кэбэч.	Она пошла.	He went off.	そしてクズリは出発した。	1(1.8)
01_ShAG19970727T2-10	kebet'.	kebe-t'.	leave:PFV-IND.INTR.3SG	Кэбэч	Пошла.	He went off.	出発した。	1(1.9)
01_ShAG19970727T2-11	tudegele peššejdele kebejŋi.	tude-gele peššej-dele kebej-ŋi.	3SG-ACC throw:PFV-SS.SEQ leave:PFV-PL:IND.INTR.3	тудэгэлэ пэшшэйдэлэ кэбэйӈи,	Они её бросили, уехали.	They left him and went off.	人々は彼を捨てて去った。	1(1.9)
01_ShAG19970727T2-12	tudel kebet'.	tudel kebe-t'.	3SG leave:PFV-IND.INTR.3SG	тудэл кэбэч.	А она пошла.	And he went off.	彼（も）去った。	1(1.9)
01_ShAG19970727T2-13	l'eŋin ann'ej, “ileje, tetek jō t'andelūl'elul.”	l'e-ŋin ann'e-j, “ileje, tet-ek jō t'andelū-l'el-u-l.”	that.one-DAT speak-IND.INTR.3SG wind 2SG-FOC INTJ be.strong-INFR-E-SF	Льэӈин анньэй: «Илэйэ, тэтэк йоо чандэлуульэлул».	Она говорила ему (ветру): «Ветер, это ты сильный».	He said (to the wind), “Wind, you are the one who is strong.”	彼はあれに向かって言った、「風よ、おまえこそが強い」	1(1.1)
01_ShAG19970727T2-14	ileje moni, pukel'e moni, “met el_t'andelit'e.	ileje mon-i, pukel'e mon-i, “met el=t'andeli-t'e.	wind say-IND.INTR.3SG snow say-IND.INTR.3SG 1SG NEG=be.strong-IND.INTR.1SG	Илэйэ мони, пукэльэ мони: «Мэт эл чандэличэ,	Ветер сказал, снег сказал: «Я не сильный.	The wind said, (it was not the wind but) the snow that said, “I am not strong.	風は言った、（風ではなくて）雪は言った、「わたしは強くない。	1(1.11)
01_ShAG19970727T2-15	ileje metkele šarnunnum.”	ileje met-kele šar-nunnu-m.”	wind 1SG-ACC cover-HBT-IND.TR.3SG	илэйэ мэткэлэ шарнуннум».	Ветер сильнее меня».	The wind is stronger than I.”	風がわたしを押さえつけてしまう」	1(1.11)
01_ShAG19970727T2-16	pukel'e, “ileje metkele šarnunnum.”	pukel'e, “ileje met-kele šar-nunnu-m.”	snow wind 1SG-ACC cover-HBT-IND.TR.3SG	Пукэльэ: «Илэйэ, мэткэлэ шарнуннум».	Снег сказал: «Ветер сильнее меня».	The snow said, “The wind is stronger than I.”	雪が（言った）、「風がわたしを押さえつけてしまう」	1(1.12)
01_ShAG19970727T2-17	tāt'ile moni, “ileje, tetek jō t'andelūl'elul.”	tāt'ile mon-i, “ileje, tet-ek jō t'andelū-l'el-u-l.”	then say-IND.INTR.3SG wind 2SG-FOC INTJ be.strong-INFR-E-SF	Таачилэ мони: «Илэйэ, тэтэк йоо чандэлуульэлул».	Тогда росомаха сказала: «Ветер, это ты сильный».	Then, the wolverine said, “Wind, you are the one who is strong.”	それからクズリは言った、「風よ、おまえこそが強い」	1(1.13)
01_ShAG19970727T2-18	ileje moni, “met el_t'andelit'e.”	ileje mon-i, “met el=t'andeli-t'e.”	wind say-IND.INTR.3SG 1SG NEG=be.strong-IND.INTR.1SG	Илэйэ мони: «Мэт эл чандэличэ».	Ветер сказал: «Я не сильный».	The wind said, “I am not strong.”	風は言った、「わたしは強くない」	1(1.14)
01_ShAG19970727T2-19	ileje moni, “met el_t'andelit'e.	ileje mon-i, “met el=t'andeli-t'e.	wind say-IND.INTR.3SG 1SG NEG=be.strong-IND.INTR.1SG	Илэйэ мони: «Мэт эл чандэличэ,	Ветер сказал: «Я не сильный.	The wind said, “I am not strong.	風は言った、「わたしは強くない。	1(1.15)
